2020-05-02 21:49:38.474	1000	Credit	51010
2020-05-02 21:51:26.655	1000	Credit	51010
2020-05-02 22:35:40.463	5000	Credit	55010
2020-05-02 22:35:47.148	6000	Credit	61010
2020-05-02 22:38:19.025	500	Credit	50510
2020-05-02 22:38:22.646	5000	Credit	55510
2020-05-02 22:38:38.424	6000	Credit	61510
2020-05-02 22:41:32.237	500	Credit	50510
2020-05-02 22:41:44.875	600	Credit	51110
2020-05-02 22:43:38.778	500	Credit	50510
2020-05-02 22:43:49.157	600	Credit	51110
2020-05-02 22:45:23.193	500	Credit	50510
2020-05-02 22:45:29.117	600	Credit	51110
2020-05-02 22:48:11.495	500	Credit	50510
2020-05-02 22:48:22.171	600	Credit	51110
2020-05-02 22:52:19.04	500	Credit	50510
2020-05-02 22:52:26.596	600	Credit	51110
2020-05-02 22:55:53.541	7002	Credit	57012
2020-05-02 22:56:14.644	500	Credit	57512
2020-05-02 22:59:21.037	4005	Credit	54015
2020-05-02 22:59:28.215	604	Credit	54619
2020-05-02 23:02:04.451	400	Credit	50410
2020-05-02 23:02:12.824	600	Credit	51010
2020-05-02 23:06:00.001	600	Credit	50610
2020-05-02 23:06:08.652	700	Credit	51310
